#{"t_start": 1727165522.767885, "env_id": "LunarLander-v2"}
r,l,t
-222.698376,74,0.570488
-301.546016,102,0.835367
-210.518598,80,1.038622
-138.974345,99,1.36523
-41.459547,107,1.787229
-21.234246,70,2.008007
-24.345848,127,2.412882
-62.665546,78,2.692795
-204.852234,90,3.011774
-162.861506,113,3.399606
-217.037929,122,3.755864
-125.485229,101,4.018777
-135.728221,69,4.234224
-76.874599,87,4.512283
-114.101481,128,4.845856
-158.853984,90,5.10963
-88.750846,92,5.365773
-112.352162,80,5.580024
-107.814207,105,5.867792
-165.22798,124,6.207694
-308.180416,127,6.56455
-126.788556,109,6.86352
-100.784929,103,7.144214
-120.610847,154,7.565279
-74.671982,148,7.984676
-105.107229,134,8.402489
-70.761865,98,8.678763
-126.922962,111,9.074154
-6.301848,173,9.551767
-212.834441,151,10.158188
-67.542087,178,10.721199
-128.118381,110,11.116949
-20.800836,83,11.463512
-19.87212,166,12.127603
-40.691293,193,12.828056
28.716207,153,13.300101
-29.177667,218,13.924513
-32.485387,133,14.275962
-62.681652,144,14.655541
-16.150519,131,15.106371
-16.915728,153,15.50981
-155.94006,149,15.909388
-32.734367,130,16.243596
-66.899597,130,16.579172
-33.647042,96,16.818553
-67.927765,90,17.046816
-40.131693,140,17.411309
-15.095858,168,17.978751
-61.301201,99,18.26551
-42.73482,104,18.590299
-25.706367,102,18.912909
-61.579232,84,19.135878
-64.536607,86,19.413979
46.37534,135,19.784336
-12.384723,93,20.032771
-7.460823,201,20.570433
-8.841331,140,20.934666
32.773702,174,21.394239
-45.019757,129,21.737636
-31.128972,73,21.932597
-202.819703,853,24.34823
10.288336,1000,27.322665
-187.490773,749,29.330281
-87.278785,1000,32.110189
-134.623035,433,33.26696
8.450657,222,33.86083
-150.890076,166,34.381629
-129.670076,632,36.232093
-40.246595,1000,40.296444
-84.646369,1000,43.970425
-11.834457,1000,46.834681
-31.847438,1000,49.662477
-100.192972,1000,52.550057
-393.857109,658,54.430264
-70.436873,1000,57.812423
-121.418878,1000,61.205037
-14.852232,1000,64.083412
-24.018004,1000,67.533524
-28.797707,1000,71.10192
-63.230112,1000,76.430861
25.768664,1000,81.037971
-56.002228,1000,86.408587
-18.48722,1000,89.776949
-44.411991,1000,93.140657
14.833852,1000,97.143829
287.640158,256,98.171687
6.327971,210,98.923671
-32.723144,1000,102.660153
22.847101,1000,105.980672
21.08924,1000,109.441338
261.169398,470,111.026858
268.100474,351,112.083443
250.585323,408,113.835868
-50.162503,1000,117.728877
252.719046,509,119.902717
-178.45331,598,122.36884
104.576009,1000,126.564154
232.69669,493,128.279642
278.518942,767,131.071765
246.223023,510,132.824842
275.554842,719,135.403912
-4.330693,1000,138.542831
275.67071,261,139.617025
219.605042,778,142.31104
255.919187,401,143.716392
271.512235,653,146.167073
165.82338,1000,149.727966
284.718864,260,150.685942
278.334756,365,152.076852
249.743454,325,153.2464
254.632434,202,154.021198
281.792459,393,155.369625
-7.893971,407,156.568926
272.590254,777,159.02739
255.56281,295,160.100331
205.232007,665,163.26362
303.931597,213,164.217943
32.742118,231,165.153271
49.565662,130,165.565975
286.009444,672,167.930996
267.372455,869,171.360558
273.346206,287,172.359472
170.480772,1000,176.835272
283.213687,277,177.720108
272.465833,348,178.947842
257.50885,329,180.069577
15.044151,218,180.795047
235.215939,515,182.553288
249.984983,395,183.691399
276.247202,567,185.329412
300.388255,399,186.515408
251.408565,736,188.719909
272.703932,244,189.448223
302.90083,655,191.46164
304.009448,567,193.520165
278.635603,372,194.720142
213.286179,194,195.474761
40.417765,136,195.919243
250.090199,754,198.304016
267.183179,603,200.758313
217.886856,749,205.188765
29.82922,128,205.792236
239.919236,648,208.381029
220.977678,813,211.533151
5.231395,156,212.052678
242.963863,387,213.275262
115.981303,1000,216.461569
-19.000509,222,217.209166
34.80893,122,217.613297
169.504694,1000,221.000215
14.126437,110,221.350218
25.058627,144,221.75322
13.563318,125,222.091203
20.779581,111,222.516361
54.407075,105,222.850313
44.54787,141,223.350509
40.231941,114,223.762785
18.473521,100,224.1017
277.845928,241,224.771415
37.516801,137,225.161203
24.61597,120,225.498731
56.052424,102,225.854548
254.77682,216,226.55125
34.750949,126,226.911244
29.229238,132,227.452031
262.371079,387,228.816392
20.063895,136,229.330151
134.104394,1000,234.488286
-15.278837,156,235.054812
39.85263,108,235.436996
270.327861,790,238.405327
273.164417,243,239.271341
233.079776,987,242.817827
217.662899,717,244.958898
193.795674,672,247.210738
103.42687,1000,250.825489
92.94817,1000,255.234687
202.33564,955,260.219015
148.637625,1000,264.462166
250.565107,174,265.153074
247.999395,410,266.753734
15.394045,114,267.232345
146.850066,1000,272.733253
244.743609,763,275.321572
182.245982,670,277.418078
116.505742,1000,280.851842
297.255883,313,281.93586
255.982787,259,283.034208
229.569602,413,284.592819
245.51157,223,285.494505
-4.723864,146,286.019358
280.487765,413,287.534601
253.754101,214,288.261238
268.379531,672,291.034011
221.510458,825,298.938322
231.149661,737,302.377472
22.810494,82,302.64766
-121.659678,115,303.041523
250.517614,450,305.125971
24.679579,97,305.506917
231.277073,849,310.25931
-3.267008,123,310.707077
210.945562,562,313.093629
100.780823,1000,317.635684
252.26332,396,319.69026
237.798243,299,321.085758
253.658807,409,322.778033
275.824642,327,323.998803
185.637451,1000,327.518178
258.66234,515,329.103408
281.927329,491,330.656621
-227.165141,76,330.923043
-243.503426,97,331.208773
-207.712805,79,331.494158
1.864936,96,331.779465
5.872055,100,332.079394
270.405647,365,333.14683
-77.037145,145,333.573374
262.579558,872,336.214139
268.449709,448,337.579792
161.506051,1000,340.875314
-135.011052,89,341.153027
-158.71959,71,341.383583
160.879904,1000,344.549523
-86.348294,111,344.91133
276.454794,673,347.008026
12.576666,100,347.323951
256.129365,425,349.100845
-83.884093,121,349.55921
252.445481,252,350.462979
148.102359,1000,353.887793
-45.898013,101,354.207171
271.734589,265,355.0568
63.128586,102,355.387596
164.328116,1000,358.892561
130.269792,1000,362.063621
234.559202,540,363.76289
-147.228209,75,364.000778
258.031117,582,365.845133
